Reference,1 - Randomization,2 - Sample size estimation,3 - Exclusion or inclusion criteria,4 - Blinding
"Ašmonaitė et al., 2020",Low,High,High,High
"Barboza et al., 2018",Low,High,High,High
"Barboza, Vieira LR & Guilhermino, 2018",Low,High,High,High
"Bour et al., 2020",Low,High,High,High
"Brun et al., 2019",Low,High,High,High
"Campos et al., 2021",High,High,High,High
"Cedervall et al., 2012",Low,High,High,High
"Chae et al., 2018",High,High,High,High
"Chagas et al., 2021",Low,High,High,High
"Chen et al., 2017",Low,High,High,High
"Chen et al., 2020",High,High,High,High
"Choi et al., 2018",Low,High,High,High
"Coffin et al., 2020",High,High,High,High
"Cormier et al., 2019",High,High,Low,High
"Cormier et al., 2021",Low,High,Low,High
"Critchell & Hoogenboom, 2018",Low,High,High,High
"da Costa Araújo, Andrade Vieira & Malafaia, 2020",High,High,High,High
"de Oliveira et al., 2021",Low,High,High,High
"Dimitriadi et al., 2021",Low,High,Low,High
"Ding et al., 2018",Low,High,High,High
"Ding et al., 2020",Low,High,High,High
"Estrela et al., 2021",High,High,High,High
"Ferreira et al., 2016",Low,High,High,High
"Fonte, Ferreira & Guilhermino, 2016",Low,High,High,High
"Guimarães et al., 2021",Low,High,High,High
"Guven et al., 2018",Low,High,High,High
"Hu et al., 2021",Low,High,High,High
"Huang et al., 2021",Low,High,High,High
"Iheanacho & Odo, 2020",Low,High,High,High
"Iheanacho et al., 2020",Low,High,High,High
"Jacob et al., 2019",Low,High,High,High
"Ji et al., 2020",Low,High,High,High
"Le Bihanic et al., 2020",Low,High,High,High
"Lee et al., 2019",High,High,High,High
"Limonta et al., 2019",Low,High,Low,High
"Limonta et al., 2021",High,High,High,High
"Liu et al., 2019",High,High,High,High
"Liu et al., 2021",Low,High,High,High
"Luí­s et al., 2015",High,High,High,High
"Mak, Ching-Fong Yeung & Chan, 2019",Low,High,High,High
"Mattsson et al., 2015",High,High,High,High
"Mattsson et al., 2017",High,High,High,High
"McCormick et al., 2020",Low,High,High,Low
"Miranda, Vieira & Guilhermino, 2019",High,High,High,High
"Nanninga et al., 2021",Low,Low,Low,High
"Pannetier et al., 2019",Low,High,High,High
"Pannetier et al., 2020",Low,High,High,High
"Parenti et al., 2019",Low,High,Low,High
"Parenti et al., 2021",High,High,High,High
"Pedersen et al., 2020",Low,High,Low,High
"Pitt et al., 2018a",Low,High,High,Low
"Pitt et al., 2018b",Low,High,High,High
"Qiang & Cheng, 2019",Low,High,High,High
"Qiang & Cheng, 2021",Low,High,High,High
"Rios-Fuster et al., 2021",Low,High,High,High
"Rochman et al., 2017",Low,High,High,Low
"Roda et al., 2020",High,High,High,Low
"Romano et al., 2020",Low,High,High,High
"Santos et al., 2020",Low,High,Low,High
"Santos et al., 2021a",Low,High,High,High
"Santos et al., 2021b",Low,High,High,High
"Sarasamma et al., 2020",Low,High,High,High
"Schmieg et al., 2020a",Low,High,High,Low
"Schmieg et al., 2020b",High,High,High,High
"Sheng, Zhang & Zhang, 2021",Low,High,High,High
"Shi et al., 2021",Low,High,High,High
"Skjolding et al., 2017",High,High,High,High
"Sökmen et al., 2020",Low,High,High,High
"Trevisan, Uzochukwu & Di Giulio, 2020",High,High,High,High
"Umamaheswari et al., 2020",Low,High,High,High
"Wan et al., 2019",Low,High,High,High
"Wen et al., 2018",Low,High,High,High
"Yang et al., 2020a",Low,High,High,High
"Yang et al., 2020b",Low,High,High,High
"Yin et al., 2018",Low,High,High,High
"Yin et al., 2019",Low,High,High,High
"Zhang et al., 2020",Low,High,High,High
"Zhang et al., 2021a",Low,High,High,High
"Zhang et al., 2021b",High,High,High,High